feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.025160516123416014,0.07836839556694031,1112.1146,544.5693,0.0408550500869751
vit,23,0.02171697939229824,0.14165575802326202,619.4887,391.91492,0.49184465408325195
vit,15,0.024367340722054407,0.13634417951107025,944.23883,603.1846,0.4533156156539917
vit,34,0.022424693881408834,0.12244300544261932,1683.3977,847.92206,0.2565227150917053
vit,18,0.023962166378168222,0.17549295723438263,1791.5149,1206.0087,0.16997110843658447
vit,32,0.02326934740057088,0.04968299716711044,1314.8323,708.4678,0.4548634886741638
vit,47,0.021872464430211437,0.07693588733673096,1845.8872,883.61053,0.39512109756469727
vit,27,0.021666212003973086,0.061271779239177704,2238.1353,845.31464,0.26302236318588257
vit,8,0.021052496723871862,0.17678789794445038,1642.6678,1127.3087,0.30892372131347656
vit,52,0.023340457288846785,0.12441286444664001,1413.3848,849.8812,0.13734900951385498
