seed,RMSE,MAE,R2
42,1008.91016,635.1702,0.210612714
23,732.20654,574.24554,0.290100396
15,816.49316,635.00916,0.591230869
34,1774.4618,954.81836,0.173909664
18,1828.7266,1383.9332,0.135131776
32,1681.6676,825.07983,0.108246446
47,2202.3015,1076.7362,0.13898319
27,2653.1504,1154.7391,-0.035631776
8,2018.6179,1519.7642,-0.043601513
52,1112.0568,651.8799,0.465966821
,1582.859246,941.137569,0.203494859
