seed,RMSE,MAE,R2
42,1175.3145,602.0759,-0.071256042
23,542.80914,287.46164,0.609856844
15,833.68506,573.0371,0.573835731
34,1652.8976,957.9716,0.283219576
18,1622.8408,942.84686,0.31891048
32,1514.6145,831.2862,0.276616335
47,1409.8153,625.07495,0.647156119
27,1804.7683,839.28265,0.520791411
8,1742.8417,946.43884,0.22206676
52,1707.4056,1022.7795,-0.258889914
,1400.69925,762.825524,0.31223073
