seed,RMSE,MAE,R2
42,905.58374,425.4004,0.364021599
23,542.48706,298.5185,0.610319674
15,917.1744,640.6165,0.484205365
34,1790.3643,901.24243,0.159036636
18,1727.7017,1060.4438,0.228048801
32,1567.4884,797.5222,0.225229383
47,1817.2018,935.08167,0.413774848
27,2077.3127,726.5063,0.365129054
8,1492.3843,848.6316,0.429589152
52,1591.374,980.35236,-0.093600869
,1442.90724,761.431576,0.318575364
