feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.0274487335721981,0.06098119914531708,971.41956,512.9629,0.26818913221359253
vit,23,0.027563345812357153,0.11437685042619705,934.9216,516.39996,-0.15739095211029053
vit,15,0.02738259547487807,0.1278294324874878,1241.6199,736.52014,0.05474203824996948
vit,34,0.028915176675766433,0.09195512533187866,1423.1866,781.16656,0.46860432624816895
vit,18,0.026469189056210755,0.19608034193515778,1663.3398,1005.392,0.28449225425720215
vit,32,0.024492579229299535,0.08227518945932388,1741.6323,735.6862,0.04351663589477539
vit,47,0.025999340549468116,0.12347139418125153,1863.9332,945.4342,0.383236289024353
vit,27,0.026212276324876764,0.07451207935810089,2230.3599,843.7926,0.2681339979171753
vit,8,0.027983760533247203,0.13778166472911835,2693.2957,1414.863,-0.8577812910079956
vit,52,0.025029729979719906,0.07396853715181351,1109.9323,598.15643,0.4680054187774658
