feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.027887549371377978,0.06602050364017487,1009.07086,468.25656,0.21036118268966675
vit,23,0.027224588737879668,0.09772767126560211,630.77325,376.87283,0.47316306829452515
vit,15,0.024564471692670117,0.11412748694419861,987.43036,620.61993,0.40215861797332764
vit,34,0.028132322983572714,0.13893015682697296,1909.5275,897.9912,0.043365478515625
vit,18,0.03060057508874115,0.16551820933818817,1680.1333,921.8828,0.26997148990631104
vit,32,0.02470097946033952,0.06380695104598999,1576.2214,697.0909,0.21657222509384155
vit,47,0.026732705190475912,0.07085110247135162,1810.2405,785.5049,0.4182577133178711
vit,27,0.027031940203949015,0.07647325843572617,2212.709,894.41705,0.2796720266342163
vit,8,0.028661953645516495,0.1450977772474289,1881.0938,1209.6613,0.09375131130218506
vit,52,0.03053755817410037,0.11454647779464722,1475.4863,822.85803,0.05987703800201416
