feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.027165142222415676,0.07160376012325287,992.81415,509.38596,0.2355993390083313
vit,23,0.02869454022105886,0.06706598401069641,573.73645,355.4866,0.5641323328018188
vit,15,0.026427624256626238,0.10653387755155563,1170.616,654.49603,0.15976279973983765
vit,34,0.024681157399908834,0.1182340532541275,1777.5785,905.44086,0.17100512981414795
vit,18,0.027416463159230534,0.21035726368427277,1827.7267,1121.2104,0.13607734441757202
vit,32,0.024683876391877566,0.08906323462724686,1662.3394,752.6172,0.12862741947174072
vit,47,0.028251145422650746,0.13716407120227814,2124.8794,1101.0155,0.1984572410583496
vit,27,0.025493283490230147,0.13803631067276,2314.6016,981.3145,0.21180421113967896
vit,8,0.026926959856219495,0.13412661850452423,1785.5946,1016.726,0.1834322214126587
vit,52,0.027200035366673935,0.13686120510101318,1548.7574,920.16315,-0.0358123779296875
