feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.025984327,0.074327826,1027.4413,485.77267,0.181348264
vit,23,0.026632629,0.110149212,769.2512,454.5544,0.216451168
vit,15,0.026839219,0.14660801,1514.8055,838.4853,-0.406976342
vit,34,0.030091497,0.105513804,1485.2467,863.4691,0.42124939
vit,18,0.027969292,0.174959391,1614.2036,961.29645,0.326141
vit,32,0.025809625,0.084497996,1780.2643,701.97107,0.000613451
vit,47,0.026566274,0.131160781,1992.7611,1024.6886,0.295033276
vit,27,0.026808207,0.071160555,2059.8264,854.3324,0.375772536
vit,8,0.026560567,0.212450162,4606.4463,2011.7941,-0.434485912
vit,52,0.026426216,0.069302388,1007.57404,614.7053,0.561602294
