random_state,MAE,RMSE,R²,Coefficients,Intercept
42,1282.35433011347,1686.2564024492958,0.048731239579731245,"[67.58249847780876, -511.6775550601727, 49.332088590162016]",838.463267084033
23,1329.260420391847,1773.7382123746859,0.08510594926892756,"[83.44982844335517, -477.452593278443, 37.11318447531431]",802.0739314774338
15,1495.7220825828856,2825.5919541196195,0.03295950842966644,"[67.90595965408527, -478.0203362280273, 52.884461740654444]",754.8889749255175
34,1287.4613298010854,1724.9413256580608,0.10241056196372178,"[70.76484973560675, -488.45809030794305, 46.984748145593244]",809.5110546725255
18,1974.7258031548477,6853.155565034711,-0.009188860687914246,"[80.17474482881391, -636.4379395921983, 49.90180505407113]",665.2390724450993
32,1347.8273303536505,1918.774526991197,0.09796661394991524,"[62.27862742571747, -565.3397098943846, 53.91545720941156]",827.0207847653586
47,1706.5094917066156,5734.5266736476515,0.01951273441639778,"[115.01459115766839, -223.77607089519913, 2.782509916773421]",784.5758501230799
27,1343.99829821066,2011.5215220795292,0.041964135492002175,"[72.49694042387945, -520.1641092247459, 46.60299158076589]",822.9996840753709
8,1414.321336078729,1852.5715136663089,-0.030509593896186793,"[66.38611467648248, -675.8754375482657, 56.73520565954459]",801.7187990021401
52,1344.5012606188463,2014.0699991188071,0.11232398706392643,"[61.35274148911464, -485.0365245396851, 54.21685354027312]",806.6924788145856
