alpha,random_state,MAE,RMSE,R²,Coefficients,Intercept
5.0,15,1500.0082723094115,2528.203847977159,0.03766269251581089,"[486.4163307729866, -82.80756847381075, 123.332289380302]",1804.1190453954164
5.0,34,1725.3518946916045,5360.282183682086,0.013436402112256163,"[193.96993614963438, -190.8872109384783, 374.3745352700739]",1717.907653198798
5.0,18,1744.0769266864875,5156.868350076955,0.0033884338191625396,"[427.78375973380565, -160.54828979169858, 200.7166332948093]",1724.762352757792
5.0,32,1534.4504895304053,3504.092048386607,-0.0026339802562667103,"[340.3959107843653, -222.2046394980599, 297.64540465012993]",1816.5636860480636
5.0,47,1684.7976121576546,4638.963656758339,0.03047597107538691,"[405.7471812674309, -75.15672454772854, 91.21480088508874]",1730.3140874410976
5.0,27,1853.960943701631,6610.923486453992,0.01049668937200432,"[467.6313823533545, -97.87766050508468, 81.13465326889298]",1714.144996925552
5.0,8,1422.1596681423512,2197.906438730612,0.05200070001460533,"[168.91315277705263, -219.57683751098202, 413.3317892629571]",1832.430007578022
5.0,52,1362.2333777801443,2084.968781537324,0.06509344904520276,"[362.92358390712815, -119.84585977649262, 218.86319144397112]",1821.7440594593343
10.0,42,1467.805478687307,2109.316727430042,0.06244905422943514,"[380.58569010461076, -93.59798848038773, 196.22071123389665]",1829.734693046387
10.0,23,1741.5221172369859,6259.521493026353,0.00013353501540369628,"[636.9617728726557, -68.44579692515471, 0.0]",1735.8681697880243
10.0,15,1500.5042354757616,2528.501468566931,0.037436106154555726,"[529.4170956669916, -59.73215823794484, 73.602120970745]",1804.0188363300456
10.0,34,1725.432588837449,5360.132319816667,0.013491566434722713,"[238.75250017754988, -167.42467056496133, 322.85777398079074]",1717.8117028847098
10.0,18,1743.3814879416702,5156.583861465169,0.0034983907934785785,"[472.9013452571022, -136.9151114386582, 148.84350008816742]",1724.5968895487308
10.0,32,1534.771634472675,3503.1250449374356,-0.002080674736187671,"[389.1910994055101, -196.8810264167695, 241.43847068586294]",1816.5257444075264
10.0,47,1684.4206320173755,4639.77702232073,0.03013596125966156,"[451.03333219118406, -51.005331055849005, 39.06526434040565]",1730.3613689894946
10.0,27,1854.786250655376,6611.237907751402,0.010402563849617463,"[516.7277510619646, -72.86342878678964, 25.045693211249784]",1714.0200341661418
10.0,8,1422.1647780317044,2197.1370719705224,0.052664269202797764,"[210.09193060979507, -196.88701014779846, 365.61589232389724]",1832.5089212424054
10.0,52,1362.7298842031744,2085.296124081153,0.06479986315054109,"[408.299435256253, -95.4592278314521, 166.48392193455496]",1821.8573841603184
