n_estimators,max_depth,learning_rate,subsample,colsample_bytree,random_state_metrics,avg_MAE,avg_RMSE,avg_R²
100,3,0.01,0.8,0.8,"[{'random_state': 42, 'MAE': 905.342109042081, 'RMSE': 1699.940180275769, 'R²': 0.03322972286668424}, {'random_state': 23, 'MAE': 1075.7993364174583, 'RMSE': 1884.6167004967222, 'R²': -0.03285136899269392}, {'random_state': 15, 'MAE': 1236.2585612238101, 'RMSE': 2939.649817466785, 'R²': -0.046687327002287615}, {'random_state': 34, 'MAE': 1063.0909950117632, 'RMSE': 1858.3733545637406, 'R²': -0.04182558689713045}, {'random_state': 18, 'MAE': 1713.7548182067876, 'RMSE': 6927.700514249556, 'R²': -0.031263097021941855}, {'random_state': 32, 'MAE': 1068.6622477611193, 'RMSE': 2044.333306449622, 'R²': -0.023948541864096562}, {'random_state': 47, 'MAE': 1412.2796401616877, 'RMSE': 5835.78204903744, 'R²': -0.015418170642561124}, {'random_state': 27, 'MAE': 950.9909629183682, 'RMSE': 2027.0775431699797, 'R²': 0.02708897487306816}, {'random_state': 8, 'MAE': 1033.3245213734021, 'RMSE': 1838.8165531940626, 'R²': -0.015263762013971949}, {'random_state': 52, 'MAE': 1179.311188892711, 'RMSE': 2182.2410647256866, 'R²': -0.04210339663581908}]",1163.8814381009188,2923.853108362936,-0.018904255333075014
100,3,0.1,0.8,0.8,"[{'random_state': 42, 'MAE': 842.1817696879993, 'RMSE': 1555.681307530596, 'R²': 0.19035007798656245}, {'random_state': 23, 'MAE': 1006.9781739148227, 'RMSE': 1729.209300547515, 'R²': 0.13046536701789113}, {'random_state': 15, 'MAE': 1159.8502856916946, 'RMSE': 2841.1153685916693, 'R²': 0.022304745173286067}, {'random_state': 34, 'MAE': 950.2049310413707, 'RMSE': 1664.8354309063527, 'R²': 0.16387405577882652}, {'random_state': 18, 'MAE': 1628.5044404407854, 'RMSE': 6840.891216619726, 'R²': -0.00558002129679247}, {'random_state': 32, 'MAE': 991.1365461217708, 'RMSE': 1881.8112718968268, 'R²': 0.13238539408951122}, {'random_state': 47, 'MAE': 1334.0296572147715, 'RMSE': 5743.025403140905, 'R²': 0.016604361569163117}, {'random_state': 27, 'MAE': 893.8368671347877, 'RMSE': 1908.642492310362, 'R²': 0.13745536775249756}, {'random_state': 8, 'MAE': 954.7489018956963, 'RMSE': 1685.06624384156, 'R²': 0.1474182479647269}, {'random_state': 52, 'MAE': 1058.4889527906937, 'RMSE': 1878.323360144713, 'R²': 0.2279488343055891}]",1081.9960525934393,2772.8601395530227,0.11632264303412616
100,5,0.01,0.8,0.8,"[{'random_state': 42, 'MAE': 873.1730678849655, 'RMSE': 1652.2635609151037, 'R²': 0.08669746821505608}, {'random_state': 23, 'MAE': 1052.8225901461517, 'RMSE': 1844.1926134491093, 'R²': 0.010981727755466908}, {'random_state': 15, 'MAE': 1218.3459105280092, 'RMSE': 2920.4058069925104, 'R²': -0.03302819532881962}, {'random_state': 34, 'MAE': 1032.3007701416016, 'RMSE': 1815.4897114792823, 'R²': 0.005701775963142697}, {'random_state': 18, 'MAE': 1692.1917915704905, 'RMSE': 6900.64769956044, 'R²': -0.02322461523278241}, {'random_state': 32, 'MAE': 1040.0966502657802, 'RMSE': 2002.9338120729933, 'R²': 0.01710320374830898}, {'random_state': 47, 'MAE': 1390.8433500754616, 'RMSE': 5822.24411978388, 'R²': -0.01071247245344864}, {'random_state': 27, 'MAE': 927.2956185136273, 'RMSE': 1991.6706068578064, 'R²': 0.060779791684404505}, {'random_state': 8, 'MAE': 1003.2364241111061, 'RMSE': 1794.0384849494608, 'R²': 0.033580718863412407}, {'random_state': 52, 'MAE': 1143.5272834805576, 'RMSE': 2104.651141560672, 'R²': 0.030683507649869823}]",1137.3833456717753,2884.8537557621257,0.017856291086461074
100,5,0.1,0.8,0.8,"[{'random_state': 42, 'MAE': 821.2740143654564, 'RMSE': 1456.123240234687, 'R²': 0.29066354793938365}, {'random_state': 23, 'MAE': 988.503595827276, 'RMSE': 1686.3797128721744, 'R²': 0.17300573675803643}, {'random_state': 15, 'MAE': 1140.877898567893, 'RMSE': 2784.626620085804, 'R²': 0.06079648415822936}, {'random_state': 34, 'MAE': 922.8047963478782, 'RMSE': 1639.6379179805126, 'R²': 0.18899228444577543}, {'random_state': 18, 'MAE': 1596.0902114528317, 'RMSE': 6775.884648331642, 'R²': 0.013440516691994309}, {'random_state': 32, 'MAE': 955.7189282628839, 'RMSE': 1818.992676395605, 'R²': 0.18934395713412733}, {'random_state': 47, 'MAE': 1331.3481899212925, 'RMSE': 5729.043190589217, 'R²': 0.021386965737561825}, {'random_state': 27, 'MAE': 884.3765454677234, 'RMSE': 1880.8221779707815, 'R²': 0.16241696061472544}, {'random_state': 8, 'MAE': 964.5104260566018, 'RMSE': 1662.5492413045286, 'R²': 0.17005156572156543}, {'random_state': 52, 'MAE': 1027.72940735002, 'RMSE': 1807.8039334327202, 'R²': 0.284832092643288}]",1063.3234013619856,2724.186335919767,0.1554930111844687
200,3,0.01,0.8,0.8,"[{'random_state': 42, 'MAE': 883.5759252707741, 'RMSE': 1646.7378414178265, 'R²': 0.09279602885751259}, {'random_state': 23, 'MAE': 1047.2553158402877, 'RMSE': 1830.2638780383202, 'R²': 0.02586493594804662}, {'random_state': 15, 'MAE': 1212.3321957702635, 'RMSE': 2903.7478416387967, 'R²': -0.021277040544189996}, {'random_state': 34, 'MAE': 1024.3466995350232, 'RMSE': 1788.5363683948983, 'R²': 0.03500596073038453}, {'random_state': 18, 'MAE': 1694.4679676097526, 'RMSE': 6906.5017677348105, 'R²': -0.024961428266552455}, {'random_state': 32, 'MAE': 1038.524111405806, 'RMSE': 1987.7221333912205, 'R²': 0.03197612071137268}, {'random_state': 47, 'MAE': 1392.531386421897, 'RMSE': 5809.058929169782, 'R²': -0.006139889562381873}, {'random_state': 27, 'MAE': 927.4146802895285, 'RMSE': 1979.834611668956, 'R²': 0.07190971873036534}, {'random_state': 8, 'MAE': 1005.447286376953, 'RMSE': 1785.9114557093396, 'R²': 0.04231668319041604}, {'random_state': 52, 'MAE': 1142.5284318043102, 'RMSE': 2095.186185718097, 'R²': 0.03938224914508193}]",1136.8424000324596,2873.3501012882043,0.02868733389400554
200,3,0.1,0.8,0.8,"[{'random_state': 42, 'MAE': 837.4536347066705, 'RMSE': 1506.5241606182421, 'R²': 0.2407090675600121}, {'random_state': 23, 'MAE': 1001.3251273734352, 'RMSE': 1689.6024804219885, 'R²': 0.16984185031026888}, {'random_state': 15, 'MAE': 1141.5117803677642, 'RMSE': 2791.5915824457757, 'R²': 0.05609230014015831}, {'random_state': 34, 'MAE': 915.0095993485884, 'RMSE': 1609.1692295446912, 'R²': 0.21885345110449383}, {'random_state': 18, 'MAE': 1604.7659108477512, 'RMSE': 6802.162573664098, 'R²': 0.005773619202171787}, {'random_state': 32, 'MAE': 972.2132892622515, 'RMSE': 1841.8894572801046, 'R²': 0.16880705668263407}, {'random_state': 47, 'MAE': 1312.3423357890733, 'RMSE': 5732.895247386946, 'R²': 0.020070536386400994}, {'random_state': 27, 'MAE': 891.4543559174969, 'RMSE': 1904.5161957974733, 'R²': 0.14118080894451202}, {'random_state': 8, 'MAE': 946.7769603493431, 'RMSE': 1653.7053938653746, 'R²': 0.17885781932139355}, {'random_state': 52, 'MAE': 1054.570290018255, 'RMSE': 1828.076323635471, 'R²': 0.2687026302470257}]",1067.742328398063,2736.0132644660166,0.1468889139899071
200,5,0.01,0.8,0.8,"[{'random_state': 42, 'MAE': 840.9777475558195, 'RMSE': 1583.1809675784712, 'R²': 0.16147284365556958}, {'random_state': 23, 'MAE': 1018.2225470719771, 'RMSE': 1774.2559118295972, 'R²': 0.08457181264320279}, {'random_state': 15, 'MAE': 1181.1642375599251, 'RMSE': 2871.3853697872532, 'R²': 0.0013605114375859761}, {'random_state': 34, 'MAE': 979.6981122658469, 'RMSE': 1728.581914180459, 'R²': 0.09861773475381119}, {'random_state': 18, 'MAE': 1654.0785941162114, 'RMSE': 6861.918986310838, 'R²': -0.01177149626795515}, {'random_state': 32, 'MAE': 1001.2043291681462, 'RMSE': 1927.133939904833, 'R²': 0.09008982072467187}, {'random_state': 47, 'MAE': 1363.4557219709916, 'RMSE': 5788.065924458829, 'R²': 0.001119025909036342}, {'random_state': 27, 'MAE': 900.9657053638804, 'RMSE': 1937.8061892559874, 'R²': 0.1108949489102139}, {'random_state': 8, 'MAE': 968.8389404296875, 'RMSE': 1725.7419627863305, 'R²': 0.10576061272571524}, {'random_state': 52, 'MAE': 1091.6944325561524, 'RMSE': 1979.6736871105963, 'R²': 0.14238457235874902}]",1100.0300368058638,2817.7744853203194,0.07845003868506008
200,5,0.1,0.8,0.8,"[{'random_state': 42, 'MAE': 838.274245260412, 'RMSE': 1440.150816685937, 'R²': 0.3061398245638649}, {'random_state': 23, 'MAE': 989.4515612921281, 'RMSE': 1694.2727381398627, 'R²': 0.16524620031259163}, {'random_state': 15, 'MAE': 1129.6837797747523, 'RMSE': 2738.2935948308314, 'R²': 0.09179102419858498}, {'random_state': 34, 'MAE': 913.8963881780452, 'RMSE': 1631.5483112356494, 'R²': 0.19697520411155578}, {'random_state': 18, 'MAE': 1581.9863952643661, 'RMSE': 6750.9002900874275, 'R²': 0.020702480017711578}, {'random_state': 32, 'MAE': 981.4876576676802, 'RMSE': 1831.437841990679, 'R²': 0.17821333371316705}, {'random_state': 47, 'MAE': 1348.1353848221515, 'RMSE': 5727.831067146045, 'R²': 0.02180102242240023}, {'random_state': 27, 'MAE': 896.5251215411099, 'RMSE': 1879.7084048675517, 'R²': 0.16340865590548037}, {'random_state': 8, 'MAE': 991.2170829883921, 'RMSE': 1737.6233859502847, 'R²': 0.09340487027427047}, {'random_state': 52, 'MAE': 1028.7178953781126, 'RMSE': 1788.8094037515243, 'R²': 0.2997816267577159}]",1069.937551216715,2722.0575854685794,0.1537464242277343
